date,FA516000105.Q,FA515013005.Q,FA514090005.Q,FA513020003.Q,FA513034003.Q,FA512051003.Q,FA514022005.Q,FA513069103.Q,FA513061103.Q,FA513061703.Q,FA513062003.Q,FA513063003.Q,FA513065503.Q,FA513064105.Q,FA513064203.Q,FA513070003.Q,FA513092003.Q,FA513092403.Q,FA514190005.Q,FA512151003.Q,FA513164103.Q,FA513169333.Q,FA513178003.Q,FA513192003.Q,FA513190005.Q,FA513194733.Q,FA513176003.Q,FA517005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,132.00,32.00,868.00,189.00,0.00,0.00,594.00,0.00,594.00,0.00,-12.00,12.00,5.00,-41.00,0.00,117.00,4.00,0.00,761.00,0.00,53.00,0.00,-10.00,2.00,716.00,0.00,716.00,-7.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,48.00,40.00,1060.00,182.00,0.00,0.00,732.00,0.00,591.00,0.00,78.00,63.00,8.00,34.00,0.00,100.00,4.00,0.00,913.00,0.00,77.00,0.00,10.00,2.00,824.00,0.00,824.00,-139.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,249.00,47.00,1120.00,42.00,0.00,0.00,906.00,0.00,528.00,0.00,229.00,149.00,7.00,87.00,0.00,74.00,4.00,0.00,851.00,0.00,37.00,0.00,73.00,2.00,739.00,0.00,739.00,-68.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,459.00,54.00,949.00,63.00,0.00,0.00,663.00,0.00,413.00,0.00,284.00,-34.00,17.00,131.00,0.00,71.00,4.00,0.00,774.00,0.00,20.00,0.00,100.00,3.00,651.00,0.00,651.00,230.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
