date,FL104090005.Q,FL103091003.Q,FL103020005.Q,FL103030003.Q,FL103034003.Q,FL102051003.Q,FL104022005.Q,FL103069100.Q,FL103061103.Q,FL103061703.Q,FL103062003.Q,FL104023005.Q,FL103065003.Q,FL103066005.Q,LM103064203.Q,FL103070005.Q,FL103092005.Q,FL103090005.Q,FL103076005.Q,FL103092405.Q,FL103094105.Q,FL103093005.Q,FL104190005.Q,FL104122005.Q,FL103169100.Q,FL103162000.Q,FL103163003.Q,FL104123005.Q,FL103168005.Q,FL103169005.Q,FL103165005.Q,FL103170005.Q,FL103178000.Q,FL103192005.Q,FL103190005.Q,FL573074005.Q,FL573073005.Q,FL103193005.Q,LM103164103.Q,FL104001005.Q,FL104150005.Q,FL104001006.Q,FL104140006.Q
1945:Q4,68936.44,33.00,19111.47,900.00,0.00,0.00,18760.00,0.00,18508.00,0.00,252.00,2799.00,5.00,2794.00,0.00,19821.00,6990.00,521.97,429.27,3.70,0.00,89.00,70344.85,24000.00,95.00,0.00,23905.00,20652.67,8912.32,3199.47,8540.88,13718.28,10105.00,1493.00,375.90,0.00,16879.00,-16503.10,103694.00,38804.47,36030.07,107.70,27.34
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,67344.00,68.00,19666.00,900.00,0.00,0.00,13124.00,32.00,12779.00,0.00,313.00,3331.00,10.00,3321.00,0.00,22579.00,6971.00,705.00,689.00,3.00,0.00,13.00,80331.00,24995.00,137.00,0.00,24858.00,24894.00,12505.00,3054.00,9335.00,20069.00,8147.00,1481.00,744.00,0.00,18059.00,-17315.00,97302.00,33758.00,43913.00,76.87,31.46
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,76067.00,51.00,21594.00,900.00,0.00,0.00,12770.00,129.00,12291.00,0.00,350.00,4135.00,16.00,4119.00,0.00,27554.00,8088.00,975.00,971.00,2.00,0.00,1.00,93182.00,27843.00,172.00,0.00,27671.00,28937.00,15574.00,2869.00,10495.00,23427.00,10333.00,1571.00,1071.00,0.00,19071.00,-18000.00,95116.00,35315.00,52375.00,67.43,32.78
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,81538.00,10.00,22014.00,900.00,0.00,0.00,13485.00,180.00,12853.00,0.00,452.00,4935.00,30.00,4905.00,0.00,29600.00,9321.00,1274.00,1209.00,2.00,0.00,62.00,102044.00,32137.00,166.00,0.00,31971.00,30674.00,16181.00,2958.00,11535.00,25024.00,11108.00,1745.00,1357.00,0.00,19930.00,-18573.00,94141.00,36409.00,55437.00,65.68,30.74
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
