date,FU893190005.Q,FU543077073.Q,FU103190005.Q,FU113193003.Q,FU313190005.Q,FU223073045.Q,FU713190005.Q,FU763190005.Q,FU753190005.Q,FU743193005.Q,FU473193005.Q,FU513190005.Q,FU543190005.Q,FU403190005.Q,FU613190005.Q,FU643193005.Q,FU663190005.Q,FU733193005.Q,FU503190005.Q,FU263190005.Q,FU893090005.Q,FU153090005.Q,FU103090005.Q,FU113090005.Q,FU213093003.Q,FU313090005.Q,FU713090005.Q,FU763090005.Q,FU753093005.Q,FU743093005.Q,FU473090005.Q,FU513090005.Q,FU543090005.Q,FU573090005.Q,FU343073005.Q,FU223090005.Q,FU633093005.Q,FU653093005.Q,FU563093003.Q,FU403093005.Q,FU673090543.Q,FU613090005.Q,FU643090005.Q,FU663090005.Q,FU733090005.Q,FU503094505.Q,FU903090005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,5928.00,65.00,442.00,0.00,3487.00,613.00,-74.00,374.00,0.00,-21.00,8.00,716.00,299.00,-265.00,159.00,0.00,-11.00,0.00,9.00,127.00,4120.00,803.00,-47.00,196.00,0.00,67.00,-19.00,-2278.00,0.00,44.00,-1.00,0.00,72.00,1088.00,3522.00,613.00,0.00,0.00,0.00,-26.00,0.00,90.00,0.00,-4.00,0.00,0.00,1808.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,6018.00,81.00,551.00,0.00,2356.00,771.00,249.00,126.00,0.00,-2.00,7.00,824.00,394.00,23.00,225.00,0.00,-18.00,0.00,1.00,430.00,6263.00,538.00,663.00,241.00,0.00,403.00,69.00,-391.00,0.00,53.00,-2.00,0.00,66.00,1217.00,2612.00,771.00,0.00,0.00,0.00,-25.00,0.00,54.00,0.00,-6.00,0.00,0.00,-245.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
