date,FC102090005.Q,FU105060005.Q,FU105061005.Q,FU105050005.Q,FU106300005.Q,FU105020601.Q,FU105000005.Q,FU104090005.Q,FU104190005.Q,FU103164103.Q,FR108000005.Q,FR105035005.Q,FR103064203.Q,FR108100005.Q,FR105015205.Q,FR105013765.Q,FR105020015.Q,FR103092005.Q,FR103192005.Q,FV108090005.Q,FL102090005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,215977.17
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,16043.00,4970.00,16684.00,19173.00,7752.00,-5263.00,-12732.00,-1592.00,11140.00,1018.00,14011.00,14011.00,0.00,-3752.00,3894.00,338.00,-7753.00,-230.00,1.00,815.00,232021.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,37699.00,10497.00,14759.00,18336.00,9476.00,-5899.00,-5356.00,8753.00,14108.00,1093.00,25928.00,25928.00,0.00,1390.00,3074.00,650.00,-2634.00,390.00,90.00,-115.00,269719.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,24392.00,9256.00,12895.00,21863.00,11120.00,-2152.00,-4639.00,5446.00,10085.00,1000.00,8760.00,8760.00,0.00,6313.00,5164.00,212.00,548.00,538.00,149.00,63.00,294112.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,10188.00,5543.00,1193.00,15057.00,12008.00,1856.00,3138.00,3893.00,755.00,1212.00,2112.00,2112.00,0.00,2387.00,-499.00,-35.00,2604.00,415.00,98.00,147.00,304300.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,24160.00,10575.00,16343.00,24226.00,12848.00,-4965.00,-7056.00,16785.00,23841.00,1288.00,13786.00,13786.00,0.00,-600.00,6193.00,537.00,-7427.00,467.00,370.00,398.00,328460.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,35634.00,12637.00,17520.00,30957.00,14636.00,-1199.00,-6991.00,8033.00,15024.00,2107.00,15746.00,15746.00,0.00,7066.00,2978.00,326.00,3256.00,683.00,177.00,186.00,364094.00
1952:Q1,11317.00,3386.00,2752.00,6884.00,3814.00,318.00,61.00,-1830.00,-1891.00,573.00,6170.00,6170.00,0.00,1913.00,274.00,-19.00,1445.00,214.00,0.00,-152.00,375411.00
1952:Q2,5050.00,4178.00,1231.00,5379.00,3860.00,289.00,2283.00,-34.00,-2317.00,664.00,485.00,485.00,0.00,721.00,477.00,25.00,-38.00,230.00,-28.00,-334.00,380461.00
1952:Q3,594.00,2600.00,2448.00,6541.00,3918.00,175.00,-238.00,5289.00,5527.00,390.00,-1853.00,-1853.00,0.00,181.00,-268.00,79.00,97.00,234.00,-39.00,-334.00,381055.00
1952:Q4,1843.00,65.00,3163.00,7350.00,3989.00,199.00,-3791.00,1999.00,5790.00,693.00,2083.00,2083.00,0.00,-393.00,-72.00,41.00,-375.00,206.00,193.00,89.00,382899.00
1953:Q1,4577.00,3720.00,3291.00,7255.00,4072.00,-108.00,-89.00,-1621.00,-1532.00,518.00,257.00,257.00,0.00,651.00,471.00,123.00,-191.00,208.00,-40.00,-50.00,387476.00
1953:Q2,6225.00,4108.00,3856.00,7607.00,4150.00,-399.00,-293.00,625.00,918.00,545.00,1375.00,1375.00,0.00,1059.00,951.00,53.00,-199.00,202.00,-52.00,-317.00,393701.00
1953:Q3,6291.00,3222.00,3436.00,7156.00,4221.00,-501.00,-529.00,3994.00,4523.00,315.00,1679.00,1679.00,0.00,1377.00,964.00,44.00,125.00,196.00,-48.00,12.00,399992.00
1953:Q4,-744.00,-592.00,1409.00,5706.00,4286.00,11.00,-2389.00,45.00,2434.00,388.00,-838.00,-838.00,0.00,370.00,437.00,7.00,31.00,190.00,294.00,315.00,399248.00
1954:Q1,4187.00,2811.00,1586.00,5928.00,4345.00,-3.00,488.00,-4271.00,-4759.00,737.00,27.00,27.00,0.00,1449.00,913.00,126.00,219.00,181.00,-10.00,-100.00,403435.00
1954:Q2,4654.00,3437.00,1390.00,5784.00,4403.00,-9.00,1525.00,-529.00,-2054.00,522.00,262.00,262.00,0.00,1154.00,925.00,-6.00,82.00,166.00,13.00,-199.00,408088.00
1954:Q3,1869.00,2679.00,1652.00,5941.00,4460.00,-171.00,799.00,5546.00,4747.00,228.00,543.00,543.00,0.00,-1163.00,-1556.00,23.00,213.00,170.00,13.00,-190.00,409957.00
1954:Q4,597.00,206.00,2188.00,6569.00,4516.00,-135.00,-2078.00,4763.00,6841.00,96.00,605.00,605.00,0.00,-379.00,-247.00,20.00,-191.00,185.00,146.00,164.00,410554.00
1955:Q1,5637.00,5658.00,3204.00,7497.00,4571.00,-277.00,1923.00,726.00,-1197.00,531.00,-294.00,-294.00,0.00,330.00,-150.00,268.00,-32.00,214.00,-30.00,-56.00,416191.00
1955:Q2,7788.00,3865.00,3811.00,8245.00,4656.00,-221.00,-106.00,3047.00,3153.00,160.00,2813.00,2813.00,0.00,1190.00,957.00,20.00,-70.00,229.00,-54.00,-80.00,423979.00
1955:Q3,10606.00,2876.00,4465.00,8687.00,4771.00,-548.00,-1867.00,7348.00,9215.00,278.00,5207.00,5207.00,0.00,2558.00,2188.00,78.00,-1.00,243.00,-50.00,-34.00,434585.00
1955:Q4,9343.00,-338.00,5323.00,9548.00,4915.00,-690.00,-6411.00,6274.00,12685.00,750.00,6848.00,6848.00,0.00,2275.00,2479.00,75.00,-220.00,255.00,314.00,557.00,443927.00
1956:Q1,16752.00,4464.00,5350.00,9711.00,5090.00,-728.00,-1408.00,-4034.00,-2626.00,522.00,9672.00,9672.00,0.00,2460.00,2017.00,192.00,-17.00,284.00,16.00,157.00,460680.00
1956:Q2,6597.00,3849.00,5431.00,9779.00,5259.00,-911.00,-1816.00,-76.00,1740.00,234.00,491.00,491.00,0.00,2148.00,1873.00,143.00,-152.00,327.00,43.00,109.00,467277.00
1956:Q3,13770.00,3733.00,4892.00,10018.00,5424.00,-298.00,-1732.00,4598.00,6330.00,573.00,6801.00,6801.00,0.00,3089.00,2779.00,156.00,-106.00,311.00,50.00,147.00,481047.00
1956:Q4,7560.00,1571.00,5237.00,10064.00,5583.00,-756.00,-4587.00,4554.00,9141.00,921.00,3599.00,3599.00,0.00,2182.00,1971.00,97.00,-64.00,238.00,59.00,208.00,488607.00
1957:Q1,10611.00,4640.00,4682.00,9813.00,5738.00,-606.00,-802.00,-1862.00,-1060.00,760.00,3220.00,3220.00,0.00,2485.00,2247.00,213.00,-115.00,161.00,22.00,266.00,499218.00
1957:Q2,7543.00,4233.00,4401.00,9904.00,5880.00,-377.00,-1071.00,699.00,1770.00,903.00,3051.00,3051.00,0.00,42.00,136.00,121.00,-287.00,82.00,10.00,217.00,506760.00
1957:Q3,7553.00,3957.00,4506.00,10196.00,6010.00,-320.00,-848.00,3859.00,4707.00,299.00,2077.00,2077.00,0.00,1289.00,1017.00,115.00,100.00,72.00,15.00,231.00,514314.00
1957:Q4,1511.00,-1638.00,2658.00,8551.00,6129.00,-236.00,-4775.00,1876.00,6651.00,479.00,710.00,710.00,0.00,2120.00,1916.00,48.00,105.00,132.00,81.00,319.00,515825.00
1958:Q1,4085.00,3176.00,828.00,7008.00,6235.00,-55.00,2127.00,-3425.00,-5552.00,221.00,-269.00,-269.00,0.00,660.00,84.00,229.00,234.00,175.00,61.00,517.00,519909.00
1958:Q2,3726.00,1598.00,332.00,6744.00,6333.00,78.00,408.00,1271.00,863.00,858.00,264.00,264.00,0.00,1339.00,1011.00,60.00,146.00,205.00,83.00,525.00,523636.00
1958:Q3,4411.00,2619.00,1491.00,7853.00,6423.00,-61.00,643.00,7236.00,6593.00,485.00,599.00,599.00,0.00,697.00,385.00,14.00,164.00,223.00,88.00,496.00,528046.00
1958:Q4,2016.00,-113.00,2838.00,9126.00,6505.00,-217.00,-3355.00,6473.00,9828.00,404.00,712.00,712.00,0.00,907.00,479.00,15.00,140.00,231.00,-42.00,510.00,530062.00
1959:Q1,6815.00,3523.00,3281.00,9702.00,6578.00,-157.00,-270.00,672.00,941.00,511.00,1868.00,1868.00,0.00,1292.00,1083.00,-8.00,17.00,275.00,75.00,132.00,536878.00
1959:Q2,6694.00,4683.00,4771.00,11167.00,6645.00,-249.00,-826.00,5813.00,6639.00,738.00,639.00,639.00,0.00,1313.00,956.00,213.00,-139.00,356.00,74.00,58.00,543571.00
1959:Q3,7373.00,5253.00,3137.00,9759.00,6706.00,-83.00,1856.00,4267.00,2411.00,260.00,585.00,585.00,0.00,1300.00,812.00,202.00,49.00,302.00,64.00,235.00,550944.00
1959:Q4,2111.00,-12.00,3656.00,10628.00,6760.00,212.00,-4238.00,4349.00,8586.00,569.00,684.00,684.00,0.00,942.00,461.00,184.00,191.00,113.00,7.00,498.00,553056.00
1960:Q1,3274.00,3932.00,5313.00,11905.00,6809.00,-217.00,-1732.00,-1242.00,490.00,351.00,-1218.00,-1218.00,0.00,98.00,-260.00,67.00,400.00,-90.00,19.00,462.00,556329.00
1960:Q2,1417.00,1042.00,3829.00,10538.00,6861.00,-151.00,-3156.00,25.00,3181.00,369.00,-594.00,-594.00,0.00,262.00,656.00,32.00,-148.00,-307.00,-29.00,707.00,557746.00
1960:Q3,5061.00,4252.00,3540.00,10585.00,6916.00,129.00,312.00,2252.00,1940.00,400.00,-411.00,-411.00,0.00,432.00,203.00,100.00,461.00,-333.00,-2.00,789.00,562807.00
1960:Q4,-2815.00,-2436.00,1778.00,8819.00,6975.00,66.00,-4459.00,1813.00,6272.00,245.00,-481.00,-481.00,0.00,-561.00,-170.00,71.00,-272.00,-172.00,18.00,663.00,559993.00
1961:Q1,3003.00,3600.00,2075.00,9093.00,7037.00,-19.00,855.00,-1701.00,-2556.00,670.00,-748.00,-748.00,0.00,-416.00,-222.00,32.00,-175.00,-28.00,23.00,567.00,562995.00
1961:Q2,6476.00,5189.00,2721.00,10079.00,7104.00,254.00,1300.00,5965.00,4665.00,1168.00,906.00,906.00,0.00,-146.00,-258.00,39.00,9.00,90.00,26.00,527.00,569471.00
1961:Q3,5824.00,4009.00,3772.00,11027.00,7174.00,81.00,-146.00,3738.00,3884.00,383.00,959.00,959.00,0.00,346.00,-234.00,100.00,368.00,109.00,-3.00,511.00,575295.00
1961:Q4,1589.00,-918.00,3979.00,11183.00,7249.00,-45.00,-4797.00,5368.00,10165.00,-100.00,947.00,947.00,0.00,351.00,-108.00,81.00,159.00,27.00,-191.00,1209.00,576884.00
1962:Q1,6557.00,5043.00,4526.00,11965.00,7329.00,111.00,456.00,-212.00,-668.00,61.00,329.00,329.00,0.00,521.00,211.00,6.00,308.00,-38.00,-34.00,663.00,583440.00
1962:Q2,3954.00,2957.00,4324.00,11705.00,7411.00,-31.00,-1512.00,3198.00,4710.00,144.00,-160.00,-137.00,-23.00,381.00,285.00,69.00,84.00,-92.00,-35.00,777.00,587394.00
1962:Q3,5610.00,3909.00,4699.00,12008.00,7497.00,-188.00,-854.00,4425.00,5279.00,64.00,370.00,367.00,3.00,572.00,324.00,10.00,335.00,-99.00,-2.00,759.00,593004.00
1962:Q4,3279.00,1878.00,3684.00,11405.00,7587.00,134.00,-1905.00,4561.00,6466.00,100.00,927.00,913.00,14.00,-275.00,-243.00,23.00,163.00,-63.00,155.00,749.00,596284.00
1963:Q1,4945.00,4153.00,4001.00,11927.00,7680.00,246.00,157.00,371.00,214.00,-5.00,-48.00,-56.00,8.00,181.00,88.00,-45.00,186.00,-26.00,22.00,659.00,601228.00
1963:Q2,5452.00,4377.00,4291.00,12125.00,7779.00,54.00,96.00,4963.00,4867.00,-11.00,182.00,174.00,8.00,171.00,-81.00,99.00,174.00,0.00,21.00,723.00,606681.00
1963:Q3,6610.00,4808.00,4942.00,12768.00,7885.00,-58.00,-230.00,4560.00,4790.00,96.00,558.00,555.00,3.00,550.00,150.00,176.00,224.00,7.00,7.00,695.00,613291.00
1963:Q4,1188.00,-354.00,5070.00,12878.00,7996.00,-188.00,-5003.00,5460.00,10463.00,-421.00,386.00,386.00,0.00,579.00,125.00,218.00,142.00,-4.00,-98.00,577.00,614479.00
1964:Q1,7995.00,6794.00,5216.00,13271.00,8114.00,-59.00,941.00,-407.00,-1348.00,637.00,-180.00,-192.00,12.00,763.00,384.00,131.00,253.00,-3.00,2.00,617.00,622474.00
1964:Q2,10185.00,4714.00,5336.00,13540.00,8240.00,-36.00,-1404.00,4884.00,6288.00,782.00,3964.00,3964.00,0.00,900.00,439.00,202.00,266.00,-4.00,2.00,607.00,632659.00
1964:Q3,8063.00,5913.00,5966.00,14117.00,8377.00,-225.00,-240.00,6055.00,6295.00,187.00,830.00,822.00,8.00,696.00,236.00,123.00,334.00,0.00,-3.00,625.00,640722.00
1964:Q4,2919.00,-2517.00,6355.00,14703.00,8522.00,-174.00,-8411.00,4013.00,12424.00,-461.00,4110.00,4117.00,-7.00,649.00,165.00,48.00,332.00,-7.00,-111.00,677.00,643641.00
1965:Q1,9469.00,5873.00,7893.00,16470.00,8677.00,-100.00,-1964.00,2287.00,4251.00,-56.00,1637.00,1632.00,5.00,1226.00,502.00,65.00,596.00,44.00,-20.00,733.00,653110.00
1965:Q2,9254.00,5730.00,7838.00,16409.00,8851.00,-280.00,-2439.00,5627.00,8065.00,330.00,1900.00,1908.00,-8.00,965.00,118.00,194.00,511.00,140.00,-1.00,659.00,662364.00
